run:
  id: 34413651260
  title: "fix(bin): repair process-event shutdown and tighten guard timing (#4009)"
  status: completed
  conclusion: success
  workflow: CI
  branch: main
  created: 13h ago
jobs[13]{id,name,status,conclusion}:
  102673522300,Behavior tests (Herdr),completed,success
  102673522431,Repo invariants,completed,success
  102673522461,Test coverage guard,completed,success
  102673522479,Stock macOS Bash snapshot compatibility,completed,success
  102673522481,Behavior portable parallel 1,completed,success
  102673522505,Behavior portable parallel 2,completed,success
  102673522511,Behavior portable serial 1,completed,success
  102673522521,Behavior portable serial 3,completed,success
  102673522565,Behavior portable serial 2,completed,success
  102673522579,Behavior portable serial 5,completed,success
  102673522585,Lint,completed,success
  102673522655,Behavior portable serial 4,completed,success
  102679182789,Behavior timing aggregate,completed,success
