run:
  id: 34180535832
  title: "fix(bin): derive watcher beacon staleness grace from poll cadence (#3…"
  status: completed
  conclusion: success
  workflow: CI
  branch: main
  created: 11h ago
jobs[13]{id,name,status,conclusion}:
  101918563727,Stock macOS Bash snapshot compatibility,completed,success
  101918563873,Repo invariants,completed,success
  101918563904,Behavior portable serial 4,completed,success
  101918563905,Behavior portable serial 5,completed,success
  101918563925,Behavior portable serial 1,completed,success
  101918564012,Behavior portable serial 3,completed,success
  101918564013,Behavior portable serial 2,completed,success
  101918564263,Behavior portable parallel 2,completed,success
  101918564265,Behavior portable parallel 1,completed,success
  101918564320,Test coverage guard,completed,success
  101918564418,Lint,completed,success
  101918564439,Behavior tests (Herdr),completed,success
  101921909064,Behavior timing aggregate,completed,success
